PVSYST v6.88
;File;File date;Description
Project;PVPMC_Challenge_1and2.PRJ;10/10/21 17h50;PVPMC_Challenge_1and2;
Geographical Site;ABQ_SAM_CSV_2019.SIT;10/10/21 17h50;ABQ;United States;North_America;;
Meteo data;ABQ_SAM_CSV_2019.MET;10/10/21 17h37;ABQ;;2019;
Simulation variant;PVPMC_Challenge_1and2.VC0;10/10/21 17h53;S1;
Simulation date;;10/10/21 17h54

Simulation:;Hourly values; from 01/01/19; to 31/12/19 

date;GlobInc;GlobEff;EArray;HSol;AzSol;DiffHor;TArray
    ;W/m²;W/m²;W;°;°;W/m²;°C

01/01/19 00:00;0;0;0;0;0;0;0
01/01/19 01:00;0;0;0;0;0;0;0
01/01/19 02:00;0;0;0;0;0;0;0
01/01/19 03:00;0;0;0;0;0;0;0
01/01/19 04:00;0;0;0;0;0;0;0
01/01/19 05:00;0;0;0;0;0;0;0
01/01/19 06:00;0;0;0;0;0;0;0
01/01/19 07:00;13.406;12.9;102.23;3.7802;-58.519;14.701;-4.2278
01/01/19 08:00;28.901;27.812;292.33;12.114;-50.49;31.496;-2.5923
01/01/19 09:00;36.928;35.536;390.78;20.789;-39.265;40.103;0.6294
01/01/19 10:00;41.043;39.496;440.94;27.426;-25.975;44.601;2.3046
01/01/19 11:00;40.512;38.985;432.52;31.31;-10.746;44.002;3.6072
01/01/19 12:00;87.635;84.33;1032.9;31.878;5.473;98.297;6.3489
01/01/19 13:00;117.93;113.48;1419.7;29.035;21.172;136;8.7736
01/01/19 14:00;110.21;106.05;1315.1;23.222;35.147;128.3;9.6384
01/01/19 15:00;110.06;105.91;1312.6;15.139;47.024;135.6;9.7738
01/01/19 16:00;29.248;28.145;289.19;5.452;57.047;33.5;6.5548
01/01/19 17:00;0;0;0;0.1737;61.513;0;0
01/01/19 18:00;0;0;0;0;0;0;0
01/01/19 19:00;0;0;0;0;0;0;0
01/01/19 20:00;0;0;0;0;0;0;0
01/01/19 21:00;0;0;0;0;0;0;0
01/01/19 22:00;0;0;0;0;0;0;0
01/01/19 23:00;0;0;0;0;0;0;0
02/01/19 00:00;0;0;0;0;0;0;0
02/01/19 01:00;0;0;0;0;0;0;0
02/01/19 02:00;0;0;0;0;0;0;0
02/01/19 03:00;0;0;0;0;0;0;0
02/01/19 04:00;0;0;0;0;0;0;0
02/01/19 05:00;0;0;0;0;0;0;0
02/01/19 06:00;0;0;0;0;0;0;0
02/01/19 07:00;7.5857;7.2998;29.102;3.7621;-58.659;8.105;0.5834
02/01/19 08:00;54.307;52.258;611.12;12.11;-50.634;61.897;2.0058
02/01/19 09:00;133.65;128.61;1646;20.808;-39.415;162.2;4.8437
02/01/19 10:00;123.59;118.93;1512.9;27.472;-26.126;143.8;4.6863
02/01/19 11:00;78.919;75.943;928.57;31.386;-10.886;88.004;3.181
02/01/19 12:00;122.58;117.96;1497.5;31.981;5.3589;141.11;5.1228
02/01/19 13:00;225.98;217.44;2849.6;29.158;21.092;290.6;9.3695
02/01/19 14:00;145.42;139.93;1793;23.357;35.101;176.2;6.6854
02/01/19 15:00;86.035;82.788;1018.3;15.279;47.004;101.3;4.3286
02/01/19 16:00;20.601;19.824;187.16;5.5934;57.048;22.802;1.2478
02/01/19 17:00;0;0;0;0.1348;61.665;2.4989;0
02/01/19 18:00;0;0;0;0;0;0;0
02/01/19 19:00;0;0;0;0;0;0;0
02/01/19 20:00;0;0;0;0;0;0;0
02/01/19 21:00;0;0;0;0;0;0;0
02/01/19 22:00;0;0;0;0;0;0;0
02/01/19 23:00;0;0;0;0;0;0;0
03/01/19 00:00;0;0;0;0;0;0;0
03/01/19 01:00;0;0;0;0;0;0;0
03/01/19 02:00;0;0;0;0;0;0;0
03/01/19 03:00;0;0;0;0;0;0;0
03/01/19 04:00;0;0;0;0;0;0;0
03/01/19 05:00;0;0;0;0;0;0;0
03/01/19 06:00;0;0;0;0;0;0;0
03/01/19 07:00;12.542;12.069;91.95;3.7493;-58.804;13.703;-3.2881
03/01/19 08:00;31.259;30.08;321.21;12.113;-50.783;34.198;-1.5494
03/01/19 09:00;39.053;37.581;418.52;20.833;-39.568;42.496;0.0131
03/01/19 10:00;41.222;39.668;444.52;27.524;-26.278;44.8;1.2998
03/01/19 11:00;43.555;41.913;471.91;31.468;-11.027;47.403;2.9025
03/01/19 12:00;41.85;40.272;448.73;32.09;5.2463;45.498;4.1243
03/01/19 13:00;43.019;41.398;461.38;29.288;21.016;46.805;5.5661
03/01/19 14:00;67.398;64.856;768.66;23.497;35.06;75.099;7.188
03/01/19 15:00;35.535;34.195;366.18;15.424;46.991;38.796;7.0156
03/01/19 16:00;14.844;14.284;117.08;5.7387;57.054;16.097;6.5751
03/01/19 17:00;0;0;0;0.2795;61.679;0.4987;0
03/01/19 18:00;0;0;0;0;0;0;0
03/01/19 19:00;0;0;0;0;0;0;0
03/01/19 20:00;0;0;0;0;0;0;0
03/01/19 21:00;0;0;0;0;0;0;0
