,ABQ_DNI,ABQ_TEMP,ABQ_Timestamp,ABQ_WSPD,RSK_DNI,RSK_TEMP,RSK_Timestamp,RSK_WSPD,S1_Gfront,S1_celltemp,S1_dcP,S2_Gfront,S2_celltemp,S2_dcP,S3_Gfront,S3_celltemp,S3_dcP,S4_GPOAeff,S4_Gfront,S4_Grear,S4_celltemp,S4_dcP,S5_Gfront,S5_celltemp,S5_dcP,S6_GPOAeff,S6_Gfront,S6_Grear,S6_celltemp,S6_dcP
0,0,0,2019-01-01 01:00:00-07:00,0,0,0,1/1/2020 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2019-01-01 02:00:00-07:00,0,0,0,1/1/2020 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2019-01-01 03:00:00-07:00,0,0,0,1/1/2020 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,2019-01-01 04:00:00-07:00,0,0,0,1/1/2020 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,2019-01-01 05:00:00-07:00,0,0,0,1/1/2020 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,2019-01-01 06:00:00-07:00,0,0,0,1/1/2020 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,2019-01-01 07:00:00-07:00,0,0,0,1/1/2020 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,264.8329391,-4.737162152,2019-01-01 08:00:00-07:00,1.992000006,0,0,1/1/2020 8:00,0,102.8784332,-1.908806231,367.3484684,102.8784332,-1.908806231,367.3484684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,754.4982361,-3.652383331,2019-01-01 09:00:00-07:00,1.803700002,0.245347807,5.780434837,1/1/2020 9:00,3.086956526,431.8747041,8.371250041,1534.575338,431.8747041,8.371250041,1534.575338,4.645999821,5.899192369,112.323081,4.952470739,4.645998834,0.471495239,5.92358011,117.4945584,4.343592569,5.891462463,104.6558679,4.69445372,4.343416806,0.540056791,5.916122435,108.9336733
9,914.471581,-0.708700003,2019-01-01 10:00:00-07:00,2.923566665,1.532759588,5.798333414,1/1/2020 10:00,3.320555546,700.6385918,17.39539146,2404.229104,700.6385918,17.39539146,2404.229104,21.55475515,6.340853981,560.3479036,22.94258487,21.5543195,2.135792873,6.453272094,581.3322383,20.33953912,6.310267705,527.411138,21.80590718,20.33036622,2.270063018,6.42082352,540.6672837
10,978.5517822,0.819633334,2019-01-01 11:00:00-07:00,2.962066668,5.311048511,5.7183333,1/1/2020 11:00,2.796944435,884.1050326,23.60616875,2947.555055,884.1050326,23.60616875,2947.555055,39.87630868,6.757404099,1063.788898,47.62449362,39.87343666,11.92470301,7.116298561,1239.909593,47.55732309,6.957550955,1277.28636,50.65851324,47.50079898,4.858021949,7.20535891,1295.849847
11,1006.709614,2.140700006,2019-01-01 12:00:00-07:00,1.919816669,0.782406263,5.8566667,1/1/2020 12:00,3.086944443,981.7456901,29.2615901,3186.438741,981.7456901,29.2615901,3186.438741,67.4963161,7.581957843,1834.586265,75.85086461,67.36069526,13.06179901,8.049047088,2002.656524,82.22855938,7.9585326,2249.287436,87.13957426,82.08214433,7.780661432,8.375334016,2264.364471
12,865.3172142,3.236666675,2019-01-01 13:00:00-07:00,1.641850011,3.769993823,6.016434525,1/1/2020 13:00,3.302506959,941.1236669,29.72358558,3051.233838,941.1236669,29.72358558,3051.233838,66.18986139,7.68438225,1796.736651,70.73158932,66.17149698,7.015526685,8.037537328,1862.692902,70.8696741,7.80231093,1928.186838,75.33928351,70.76889279,7.03137034,8.169198778,1948.897399
13,731.1462463,4.609283364,2019-01-01 14:00:00-07:00,1.977850002,33.13626229,6.019999965,1/1/2020 14:00,3.005,825.6512893,27.32973747,2711.136091,825.6512893,27.32973747,2711.136091,91.68694707,8.376386462,2514.153121,104.8293424,91.6814471,20.22753126,9.063219133,2788.82574,114.9956913,8.975429312,3172.643778,119.9062769,114.5714172,8.207476478,9.500905902,3136.762266
14,550.0831823,5.739883327,2019-01-01 15:00:00-07:00,3.074616667,2.271933456,5.951666713,1/1/2020 15:00,3.056666655,584.8558991,20.70174486,1978.767144,584.8558991,20.70174486,1978.767144,48.76022634,7.200540688,1309.47767,52.43788355,48.72916036,5.705727981,7.469767487,1368.362149,46.20604521,7.135121584,1238.372856,49.08056359,46.13627767,4.529670639,7.372571534,1253.024932
15,96.70661669,5.88186667,2019-01-01 16:00:00-07:00,3.146933331,0,5.820224794,1/1/2020 16:00,0,207.6920141,11.16970222,717.2895366,207.6920141,11.16970222,717.2895366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2.286679661,5.48288136,2019-01-01 17:00:00-07:00,4.179627124,0,0,1/1/2020 17:00,0,32.62158103,6.258820701,107.206799,32.62158103,6.258820701,107.206799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
